targetsDetected, destroyed, whereDestroyed.x, missionSuccess, decisionTimeAvg, decisionTimeVar
0,0,39,0,0.014355,0.000292852
1,0,39,0,0.01326,0.000179037
2,0,39,1,0.013835,0.00020336
0,0,39,0,0.012565,0.000162993
0,0,39,0,0.012475,0.000159225
1,0,39,0,0.0126,0.000162663
2,0,39,1,0.0123475,0.000157106
0,0,39,0,0.012955,0.000171019
0,0,39,0,0.0137975,0.000204025
0,0,39,0,0.012785,0.00016843
1,1,38,0,0.0125949,0.000161406
1,1,34,0,0.0118971,0.000144493
0,1,13,0,0.0120857,0.000151743
0,0,39,0,0.0125625,0.000161574
1,0,39,0,0.0135475,0.000269701
2,0,39,1,0.01505,0.000571625
1,0,39,0,0.01341,0.000209904
3,0,39,1,0.012165,0.000155919
1,0,39,0,0.01905,0.000459235
1,0,39,0,0.011865,0.000147776
1,1,28,0,0.0125276,0.000168094
0,0,39,0,0.01189,0.000157527
0,0,39,0,0.01305,0.000202321
0,0,39,0,0.01175,0.000161738
0,0,39,0,0.01198,0.000160076
1,0,39,0,0.10266,0.30743
1,0,39,0,0.0136475,0.000296674
0,0,39,0,0.012435,0.0002238
0,0,39,0,0.01241,0.000214222
1,0,39,0,0.015305,0.000456915
0,1,31,0,0.0111,0.000157607
2,1,37,0,0.0135474,0.000230214
0,1,10,0,0.0132818,0.000246348
0,0,39,0,0.013065,0.000215459
0,0,39,0,0.0141725,0.000490947
0,0,39,0,0.012075,0.000153113
1,0,39,0,0.02373,0.000770309
0,1,33,0,0.0136647,0.000242165
3,0,39,1,0.0231625,0.000634103
1,0,39,0,0.02037,0.000523717
1,0,39,0,0.0133425,0.000216342
0,0,39,0,0.0127325,0.000193231
1,0,39,0,0.013005,0.000215929
1,0,39,0,0.01349,0.000214016
3,0,39,1,0.0137175,0.000248323
0,0,39,0,0.0155325,0.000309899
1,0,39,0,0.0124025,0.000171584
0,0,39,0,0.0144325,0.000270679
0,0,39,0,0.012625,0.000205846
0,0,39,0,0.012955,0.000200369
0,0,39,0,0.01382,0.00023886
0,0,39,0,0.013755,0.000231983
2,0,39,1,0.015705,0.000258246
