targetsDetected, destroyed, whereDestroyed.x, missionSuccess, decisionTimeAvg, decisionTimeVar
1,0,39,0,0.0161675,0.000463705
1,0,39,0,0.01625,0.000438266
1,0,39,0,0.0177075,0.000460655
0,0,39,0,0.0214425,0.000710076
1,0,39,0,0.0233825,0.000849596
0,1,9,0,0.02224,0.000622446
2,0,39,1,0.02069,0.00057514
2,0,39,1,0.0200575,0.000534859
0,0,39,0,0.0199925,0.00052354
1,0,39,0,0.0229825,0.000679789
1,0,39,0,0.0204725,0.000656155
2,0,39,1,0.0209975,0.000583761
1,0,39,0,0.018605,0.000480811
0,0,39,0,0.01922,0.00048708
1,0,39,0,0.019975,0.000521723
1,0,39,0,0.0180525,0.00042583
0,0,39,0,0.019,0.000488912
2,0,39,1,0.0215375,0.000714891
1,0,39,0,0.02039,0.000548662
2,0,39,1,0.0191575,0.000506399
1,0,39,0,0.0183225,0.000440532
0,0,39,0,0.0188925,0.000473224
1,0,39,0,0.0188975,0.000491393
3,0,39,1,0.023355,0.000885737
2,0,39,1,0.021965,0.000643742
0,1,18,0,0.0160842,0.000325299
1,0,39,0,0.0130275,0.000176436
2,0,39,1,0.0110225,0.000126784
1,0,39,0,0.0116575,0.000145363
0,0,39,0,0.0179125,0.000433777
0,0,39,0,0.0135275,0.000244665
1,0,39,0,0.011785,0.000159169
3,0,39,1,0.0138125,0.000285964
1,0,39,0,0.01796,0.000636085
0,0,39,0,0.0142,0.00026867
0,0,39,0,0.0113725,0.000152957
1,0,39,0,0.014655,0.00025068
1,0,39,0,0.0136175,0.000241421
1,0,39,0,0.0093975,0.000111688
0,0,39,0,0.0101025,0.00012476
0,0,39,0,0.01324,0.000208501
1,0,39,0,0.0123675,0.000195008
0,1,3,0,0.015025,0.000227122
2,0,39,1,0.01462,0.000219569
2,0,39,1,0.0116125,0.000140371
2,0,39,1,0.0121875,0.000157233
2,0,39,1,0.0122325,0.000154267
1,0,39,0,0.0161075,0.000497669
2,0,39,1,0.012565,0.000225597
1,0,39,0,0.010915,0.000147086
0,0,39,0,0.0102875,0.00013254
3,0,39,1,0.010345,0.000125614
0,0,39,0,0.0141875,0.000297003
2,0,39,1,0.0127475,0.000209674
0,0,39,0,0.0152375,0.000307056
1,0,39,0,0.0116675,0.000150706
1,0,39,0,0.01082,0.00014671
1,0,39,0,0.013135,0.000193933
2,0,39,1,0.0109875,0.000147649
1,0,39,0,0.0103775,0.000129807
1,0,39,0,0.013225,0.000181123
0,0,39,0,0.0128225,0.000192011
1,0,39,0,0.013255,0.000232604
2,0,39,1,0.0145925,0.000265031
1,0,39,0,0.0119675,0.000166209
1,0,39,0,0.0142575,0.000275608
2,0,39,1,0.01452,0.000287551
0,0,39,0,0.013095,0.000219801
0,0,39,0,0.0122725,0.000188978
1,0,39,0,0.0119425,0.000187433
2,0,39,1,0.0116125,0.000174967
1,0,39,0,0.0115425,0.000158312
2,0,39,1,0.0132775,0.000249981
1,0,39,0,0.0124325,0.000193655
2,0,39,1,0.0129,0.000206128
0,0,39,0,0.0134925,0.000221065
0,0,39,0,0.0134075,0.000245557
1,0,39,0,0.0123575,0.000182658
1,0,39,0,0.0124675,0.000162211
0,1,35,0,0.0113194,0.00013427
2,0,39,1,0.012745,0.000171673
0,0,39,0,0.01699,0.00096663
1,0,39,0,0.01348,0.000241487
2,0,39,1,0.01255,0.000196519
2,0,39,1,0.0122375,0.000170427
0,1,5,0,0.01695,0.000397732
1,0,39,0,0.0124325,0.000198684
2,0,39,1,0.0134825,0.000238175
2,0,39,1,0.0188075,0.0013077
1,0,39,0,0.0147025,0.000282154
1,0,39,0,0.014035,0.000269284
2,0,39,1,0.0121275,0.000158198
1,0,39,0,0.011055,0.000193953
1,0,39,0,0.0111325,0.00018972
0,0,39,0,0.0169225,0.000895495
2,0,39,1,0.0120975,0.000250109
0,0,39,0,0.011865,0.0002187
3,0,39,1,0.009745,0.00013785
2,0,39,1,0.00739,5.6353e-05
1,0,39,0,0.0087375,0.000102004
0,0,39,0,0.0109325,0.000181923
2,0,39,1,0.01144,0.000394599
2,0,39,1,0.00901,0.000118259
0,0,39,0,0.00822,7.11445e-05
3,0,39,1,0.00939,0.000123144
1,0,39,0,0.009,0.000118953
2,0,39,1,0.0097125,0.000146595
1,0,39,0,0.0104825,0.000168976
0,1,14,0,0.00934667,0.000113249
1,0,39,0,0.008735,0.000102563
0,0,39,0,0.00841,9.5738e-05
1,0,39,0,0.00871,0.000100215
1,0,39,0,0.0094125,0.000127535
2,0,39,1,0.00944,0.000126113
1,0,39,0,0.008965,0.000120387
3,0,39,1,0.0092375,0.000119795
2,0,39,1,0.00931,0.000147009
0,1,38,0,0.0125718,0.000254062
0,0,39,0,0.01249,0.000264459
0,0,39,0,0.0089925,0.000100968
1,0,39,0,0.007885,7.58315e-05
0,0,39,0,0.0077475,6.19057e-05
